model,condition,case_id,risk_band,faithfulness,n_claims,unsupported,fk_grade,consistency,latency_s,words,text
gemma4:e4b,ungrounded,C09,high,0.5,8,4,14.6,0.529,7.36,102,"This screening test suggests a high probability of Parkinson's disease, based on analysis of your voice. The system noted several changes in how you speak—specifically issues with the steadiness of your pitch and volume, as well as subtle irregularities in the sound and rhythm of your speech. While this result indicates a significant risk that warrants immediate attention, please remember that this is only a screening tool; it is not a final diagnosis. You must discuss these results thoroughly with your doctor so they can perform a full physical examination and determine the necessary next steps for proper medical evaluation."
phi4-mini,grounded,C01,low,1.0,8,0,19.4,0.45,7.22,128,"This is a decision support tool to help understand your risk for Parkinson’s disease based on voice analysis: Your estimated probability chance right now stands at 15%, which falls into our low-risk band; this doesn't mean you definitely have or don't have it, just that there's some evidence suggesting further assessment might be helpful if you're concerned. The way we analyzed the sound of someone's speech can sometimes hint towards Parkinson's disease by noticing certain patterns like changes in loudness and clarity when speaking (these are called voice features). Remember though: this is not a diagnosis; it's more about whether you should get checked out for possible symptoms related to Parkinson’s, which might include things beyond just your voice."
phi4-mini,ungrounded,C01,low,0.75,4,1,16.67,0.533,4.95,67,"Your screening result suggests a 15% chance that you might have Parkinson's disease, which is considered low risk for this condition right now based on your voice features alone; however, some aspects of how we analyze speech can slightly increase or decrease our estimates in different ways. Overall though, there's no immediate cause to be concerned about developing Parkinson’s at present just from these findings."
phi4-mini,grounded,C02,low,0.75,12,3,22.55,0.44,5.7,184,"This is a decision support tool to help understand your risk for Parkinson’s disease based on voice analysis results: Your estimated probability chance (19%) falls into our low-risk band; this means there's not much evidence pointing towards you having Parkinson's but it's still something worth looking at more closely by specialists if needed. The way we analyzed the sound of your speech found some features that usually aren't seen in people with Parkinson’s, which lowered risk a bit—things like how varied and dynamic it is when speaking (fine-grained irregularity), its spectral shape or dynamics during articulation—which are ways to describe voice quality—and vowel resonance as well. However, there were also certain characteristics of your speech raised the estimate slightly; these include reduced loudness in voices that can sound monotone with less variation between sounds and imprecise pronunciation which might be linked to Parkinson's disease symptoms like tremors or muscle stiffness affecting movement control including speaking movements (as mentioned by NHS guidelines). Remember, this isn't a diagnosis but an indication for further assessment."
phi4-mini,ungrounded,C02,low,0.5714285714285714,7,3,15.98,0.416,5.22,84,"Your screening result suggests a 19% chance that you might have Parkinson's disease, which is considered low risk for this condition based on your voice analysis alone. The features we looked at in your speech didn't strongly indicate or rule out Parkinson’s; they actually lowered our initial estimates because of certain irregularities and dynamics observed during the test. However, some aspects like vowel resonance were slightly higher than expected but still not enough to significantly increase risk assessment for you right now."
phi4-mini,grounded,C03,low,1.0,9,0,17.96,0.498,5.48,235,"This is a decision support tool to help understand your risk for Parkinson’s disease based on voice analysis: Your estimated probability chance right now stands at 16%, which falls into our low-risk band; this doesn't mean you definitely have or don't have it, just that there's some evidence suggesting it's worth looking more closely by specialists. The way we analyzed the sound of your speech found a few things—like unusual patterns and certain qualities—that might raise suspicion for Parkinson's disease (raising risk), but other aspects like how you're speaking sounds were less concerning in this case.  Remember: A higher estimate means you should talk to healthcare professionals about it more, not that it's confirmed. Changes you've noticed could be related to speech issues often seen with early signs of Parkinson’s—like a softer voice or difficulty pronouncing words correctly—but these alone aren't enough for diagnosis; they just suggest we might want further checks.  This tool is based on guidelines and clinical knowledge: Early symptoms can include shaking, slow movements, muscle stiffness (not necessarily linked directly to your speech), as well as changes in how you speak. But again—this isn't a final word about Parkinson's disease or any other health condition; it's just one piece of the puzzle for further assessment by doctors who specialize in these areas."
phi4-mini,ungrounded,C03,low,0.8,5,1,15.84,0.486,5.17,84,"Your screening result suggests a 16% chance that you might have Parkinson's disease, which is considered low risk for this condition based on your voice analysis alone. The features in our assessment related to irregularities and certain qualities of sound raised concerns slightly more about potential issues linked with Parkinson’s; however, other aspects like the shape dynamics during speech lowered those worries a bit. Overall though, there's no immediate cause for alarm regarding Parkinson's disease from this test result by itself."
phi4-mini,grounded,C04,moderate,0.8571428571428571,7,1,26.0,0.392,5.33,99,"This is a decision support tool to help understand your risk for Parkinson’s disease based on voice analysis results: Your estimated probability chance (55%) falls into moderate-risk band which suggests you should consider further specialist assessment but it's not confirmed diagnosis yet; this estimate was influenced by certain features in how we hear and analyze the quality of speech, like its irregularity or clarity. Remember that changes such as reduced loudness, monotone voice qualities with imprecise articulation are common early signs for Parkinson's disease which can also affect handwriting and facial expressions according to clinical guidelines."
phi4-mini,ungrounded,C04,moderate,0.8333333333333334,6,1,16.93,0.388,5.06,93,"Your screening results suggest a 55% chance that you might have Parkinson's disease, which places your risk in moderate territory according to our system. We looked at various aspects like irregularities and patterns of sound when you're speaking; some features lowered this probability while others raised it slightly due to how words are formed or the quality of vocal vibrations we detected during speech analysis. It's important that you discuss these findings with a healthcare professional for further evaluation, as they can provide more context-specific insights into your health condition."
phi4-mini,grounded,C05,moderate,0.7142857142857143,7,2,11.49,0.469,5.09,78,"This is a decision support tool: it tells us there's about 52% chance you might have Parkinson’s disease based on how your voice sounds when speaking (like its rhythm or quality). This isn't proof of having Parkinson's; it's just an indication that we should look more closely at what you're experiencing, especially since some changes in speech are common early signs. Remember to talk with a doctor for the right diagnosis and advice!"
phi4-mini,ungrounded,C05,moderate,0.6,5,2,16.71,0.423,5.06,59,"Your screening results suggest a 52% chance that you might have Parkinson's disease, which places your risk level as moderate. This assessment was influenced by certain characteristics of how we speak and sound when talking; specifically, changes in speech patterns like less distinct articulation sounds or irregular voice signals can be indicators used to estimate this probability for us."
phi4-mini,grounded,C06,moderate,1.0,7,0,26.89,0.379,5.64,117,"This is a decision support tool to help understand your risk for Parkinson’s disease based on voice analysis: Your estimated probability chance (54%) suggests you might need further specialist assessment; it's not confirmed that you'll have this condition but it indicates moderate evidence of concern, especially related to changes in how loud or clear you're speaking. Remember, having these signs doesn't mean you've definitely got the illness—it's just a clue for doctors who may want more tests because Parkinson's can affect your speech and movement early on before other symptoms appear like shaking hands (tremor), moving slowly, stiff muscles, writing differently, facial expressions changing too much or not enough."
phi4-mini,ungrounded,C06,moderate,0.8333333333333334,6,1,17.48,0.405,5.03,66,"Your screening results suggest a 54% chance that you might have Parkinson's disease, which places your risk level as moderate. The analysis focused on several aspects of how we produce speech; some features like certain patterns in pitch or rhythm lowered our concern slightly while others indicating less regularity raised it somewhat again and the way vowels sound contributed to lowering this estimate a bit more."
phi4-mini,grounded,C07,high,0.8571428571428571,7,1,24.59,0.346,5.12,115,"This is a decision support tool to help with clinical decisions: The prediction shows there's about an 90% chance you might have Parkinson's disease based on your voice features like irregularity or changes when speaking; this means it's very likely that you'll need more expert advice, but it doesn't mean for sure the person has Parkinson’s. Remember, just because a test suggests something strongly doesn’t confirm what we think is happening inside someone's body – there's always room to check things out further with specialists who know all about these conditions and symptoms like changes in speech or handwriting you might notice as early signs of this disease."
phi4-mini,ungrounded,C07,high,0.875,8,1,15.82,0.389,5.01,109,"Your screening results suggest a high probability, about 90%, that you may have Parkinson's disease based on your voice characteristics alone. The irregularities in how we hear changes when speaking are strongly indicating this condition for us; however, other aspects of speech like its shape and dynamics seem to be less indicative at the moment but still contribute significantly towards our assessment. Stability issues with pitch (jitter) or volume fluctuations can also point toward Parkinson's disease which we've noticed as well in your voice pattern. It's important that we discuss these findings further for a comprehensive understanding, considering other factors beyond just this screening result too."
phi4-mini,grounded,C08,high,0.8,10,2,20.95,0.4,5.23,95,"This is a decision support tool: it tells us there's an 89% chance that someone might have Parkinson’s disease based on their voice signals like how they speak (articulation), pitch stability issues called jitter or shimmer; however, this isn't proof of having Parkinson's—it's just strong evidence to get more expert advice. Voice changes can be early signs and include things like a softer tone when speaking, monotone voices that sound breathy with less precise speech timing which are all clues for screening measures according to clinical literature from the NHS."
phi4-mini,ungrounded,C08,high,0.5,4,2,14.88,0.377,5.09,65,"Your screening results suggest there's an 89% chance you might have Parkinson's disease, which places your risk as high. We looked at how smooth or rough your speech sounds; if it's a bit irregular it could raise concerns about Parkinson’s but also sometimes lowers them depending on other factors like pitch stability and volume consistency in what we call 'jitter' and 'shimmer'."
phi4-mini,grounded,C09,high,0.5,6,3,12.45,0.376,5.21,79,"This is a decision support tool: it tells us there's strong evidence suggesting you might have something called Parkinson's disease based on your voice signals like how steady or shaky they are when speaking (90% chance). But remember this isn't proof of having Parkinson’s; it's just that we think further expert check-up should happen. People with early signs can sometimes show changes in their speech, handwriting and facial expressions too before other symptoms appear."
phi4-mini,ungrounded,C09,high,0.8,5,1,14.71,0.466,5.05,59,"Your screening results suggest a very high probability that you may have Parkinson's disease, with an estimated chance close to 90%. This means it's important for us to discuss your symptoms in more detail since these findings are based on certain characteristics of how we analyze voice patterns and speech dynamics which can be affected by this condition."
qwen3:4b,grounded,C01,low,1.0,7,0,8.2,0.498,11.37,56,"This decision support shows a low risk of Parkinson's disease (15% chance). Some voice changes slightly increase this estimate, like speech patterns, while others decrease it, such as voice quality. Remember: this risk estimate shows how strong the evidence is for further checks, not that the disease is confirmed. This is decision support, not a diagnosis."
qwen3:4b,ungrounded,C01,low,0.6666666666666666,6,2,8.09,0.415,6.53,46,"Your screening suggests a 15% chance of Parkinson's disease, which is considered low risk. This estimate was slightly adjusted by voice patterns—some features lower the chance while others raise it. This isn't a diagnosis, and we'd discuss next steps if you're concerned."
qwen3:4b,grounded,C02,low,1.0,5,0,8.6,0.532,9.06,46,This decision support indicates a low risk (19%) for Parkinson's disease based on voice features. Some voice patterns suggest lower risk while others suggest higher risk. Note: A risk estimate like this is not a diagnosis—it shows how strong the evidence is for further checks.
qwen3:4b,ungrounded,C02,low,0.6666666666666666,6,2,15.19,0.341,6.54,60,"Your screening suggests a 19% chance of Parkinson's disease, which is considered low risk based on this test. The analysis shows some voice patterns that slightly lower this estimate, but one voice feature slightly raises it—this means the test isn't definitive and doesn't confirm Parkinson's, just indicates a possibility that needs further discussion with your doctor."
qwen3:4b,grounded,C03,low,1.0,4,0,7.58,0.402,8.8,55,"This decision support tool shows a low risk (16%) for Parkinson's disease based on voice patterns. Some small voice changes slightly increase this chance while others decrease it. Remember: this is not a diagnosis. A risk estimate like this indicates how strong the evidence is for further checks, not proof that Parkinson's is present."
qwen3:4b,ungrounded,C03,low,0.4,5,3,13.41,0.421,6.76,41,"Your screening suggests a low risk of Parkinson's disease (16% chance), which is below typical concern levels. This estimate considers subtle voice patterns that sometimes occur in Parkinson's, but your overall speech characteristics indicate a lower risk than the average."
qwen3:4b,grounded,C04,moderate,1.0,7,0,13.68,0.567,11.53,77,"This decision support says your estimated chance of Parkinson's disease is about 55% (moderate risk). The voice changes that affected this estimate include irregular voice signals (which lowers the chance), speech patterns (which raises the chance), and vocal cord movement (which lowers the chance). Remember: A risk estimate indicates the strength of evidence for further assessment, not a confirmed diagnosis. Parkinsonian speech can show reduced loudness, a monotone or breathy voice quality, imprecise articulation and altered timing."
qwen3:4b,ungrounded,C04,moderate,0.6666666666666666,6,2,12.99,0.415,6.66,49,"Your screening suggests a moderate risk of Parkinson's disease, with about a 55% chance based on your voice patterns—small voice irregularities make this estimate slightly lower, while other speech patterns and vocal quality make it higher. This is just an estimate from a screening tool, not a diagnosis."
qwen3:4b,grounded,C05,moderate,1.0,10,0,,0.548,12.5,0,
qwen3:4b,ungrounded,C05,moderate,1.0,3,0,10.91,0.473,6.58,43,"Your screening suggests a 52% chance of Parkinson's disease, which falls in the moderate risk category. However, your speech patterns—such as how your voice flows and vocal quality—make this estimate slightly less likely than it would be without these voice changes."
qwen3:4b,grounded,C06,moderate,1.0,5,0,9.09,0.482,11.96,65,"This decision support shows your speech patterns suggest a moderate risk of Parkinson's disease. Some speech features make this risk slightly lower (like clear vowel sounds and loud voice), while others make it slightly higher (like irregular speech patterns). Remember, this is not a diagnosis. As the guidelines state: ""A risk estimate indicates the strength of evidence for further assessment, not a confirmed diagnosis."""
qwen3:4b,ungrounded,C06,moderate,0.6666666666666666,6,2,13.19,0.508,6.78,65,"Your screening suggests a 54% estimated probability of Parkinson's disease, which falls in the moderate risk category. This estimate is influenced by subtle speech patterns—some irregularities in your voice slightly raise the risk while other speech characteristics slightly lower it. Remember, this is just a screening tool, not a diagnosis, and further testing would be needed to confirm or rule out Parkinson's disease."
qwen3:4b,grounded,C07,high,1.0,4,0,12.59,0.513,9.6,55,"This decision support shows a 90% risk estimate for Parkinson's disease, indicating a high likelihood that specialist review is more strongly needed. The analysis suggests voice patterns like reduced loudness, a flat or breathy tone, or speech difficulties may be contributing to this estimate. Remember: this is only a risk assessment tool, not a diagnosis."
qwen3:4b,ungrounded,C07,high,0.75,8,2,15.09,0.376,6.7,67,"Your screening shows a high risk (90%) for Parkinson's disease based on your voice patterns, which include subtle irregularities in how your voice sounds and changes in pitch and volume stability. While some speech patterns slightly lowered the estimate, the overall voice clues strongly suggest this risk, but this is just a screening tool—not a diagnosis—and your doctor will need to confirm with further tests."
qwen3:4b,grounded,C08,high,1.0,4,0,12.5,0.425,14.12,52,"This decision support indicates an 89% estimated risk for Parkinson's disease, placing it in the high risk category. The speech patterns detected—such as altered speech quality and articulation—raise this estimate. Remember: this is not a diagnosis but a tool to indicate stronger need for specialist review based on the evidence."
qwen3:4b,ungrounded,C08,high,0.6666666666666666,6,2,10.48,0.276,6.32,59,"This screening suggests you are likely to have Parkinson's disease (89% chance), based on speech patterns that show signs of the condition. While your voice has subtle irregularities that slightly lower the estimate, other speech features make it highly probable. This is just an initial check, not a diagnosis—you’ll need further tests with a specialist to confirm."
qwen3:4b,grounded,C09,high,1.0,6,0,14.59,0.501,8.97,68,"This decision support tool estimates a 90% risk of Parkinson's disease based on your voice patterns, indicating a high risk level. Remember, this is not a diagnosis but shows stronger evidence for specialist review. The voice changes detected—such as fine-grained irregularity in the voice signal, spectral shape and dynamics of speech, and pitch/amplitude stability issues—align with early Parkinson's speech features described in guidelines."
qwen3:4b,ungrounded,C09,high,0.8333333333333334,6,1,10.32,0.432,6.16,51,"Your voice shows signs that suggest a high risk for Parkinson's disease—about 90% chance based on small irregular patterns in your voice, how your speech sounds and moves, and how consistently your voice pitch and volume stay steady. This screening tool needs to talk to your doctor for next steps."
